StationID,LocalTime,sv_id_dt,sv_id_tm,Humidity,Temp_C,WindDirAvg,Windspeed,BarometricPressure_mmHg,Altitude
KILCHICA60,2018-10-12 00:04:59,20181012,050459,66,5.555555555555555,253,3,30.07,610
KILCHICA60,2018-10-12 00:09:59,20181012,050959,66,5.555555555555555,253,4,30.07,610
KILCHICA60,2018-10-12 00:14:59,20181012,051459,66,5,251,5,30.07,610
KILCHICA60,2018-10-12 00:19:57,20181012,051957,66,5,246,4,30.07,610
KILCHICA60,2018-10-12 00:24:55,20181012,052455,66,5,249,4,30.07,610
KILCHICA60,2018-10-12 00:29:55,20181012,052955,66,5,256,4,30.07,610
KILCHICA60,2018-10-12 00:34:57,20181012,053457,66,5,228,2,30.075,610
KILCHICA60,2018-10-12 00:39:55,20181012,053955,66,5,245,4,30.075,610
KILCHICA60,2018-10-12 00:44:57,20181012,054457,66,5,244,3,30.07,610
KILCHICA60,2018-10-12 00:49:55,20181012,054955,66,5,238,4,30.07,610
KILCHICA60,2018-10-12 00:54:59,20181012,055459,66,5,263,3,30.07,610
KILCHICA60,2018-10-12 00:59:57,20181012,055957,66,5,265,4,30.07,610
KILCHICA60,2018-10-12 01:04:55,20181012,060455,66,5,269,3,30.075,610
KILCHICA60,2018-10-12 01:09:57,20181012,060957,66,5,258,5,30.07,610
KILCHICA60,2018-10-12 01:14:59,20181012,061459,66,5,241,4,30.07,610
KILCHICA60,2018-10-12 01:19:55,20181012,061955,66,4.444444444444445,249,4,30.07,610
KILCHICA60,2018-10-12 01:24:55,20181012,062455,66,4.444444444444445,265,4,30.07,610
KILCHICA60,2018-10-12 01:29:59,20181012,062959,66,4.444444444444445,259,3,30.075,610
KILCHICA60,2018-10-12 01:34:57,20181012,063457,67,4.444444444444445,233,3,30.07,610
KILCHICA60,2018-10-12 01:39:55,20181012,063955,67,4.444444444444445,273,3,30.075,610
KILCHICA60,2018-10-12 01:44:55,20181012,064455,67,4.444444444444445,263,4,30.07,610
KILCHICA60,2018-10-12 01:49:59,20181012,064959,67,4.444444444444445,259,3,30.07,610
KILCHICA60,2018-10-12 01:54:55,20181012,065455,67,4.444444444444445,258,3,30.075,610
KILCHICA60,2018-10-12 01:59:55,20181012,065955,67,4.444444444444445,278,3,30.08,610
KILCHICA60,2018-10-12 02:04:55,20181012,070455,67,4.444444444444445,250,4,30.08,610
KILCHICA60,2018-10-12 02:09:55,20181012,070955,67,4.444444444444445,253,4,30.08,610
KILCHICA60,2018-10-12 02:14:57,20181012,071457,67,4.444444444444445,253,3,30.08,610
KILCHICA60,2018-10-12 02:19:57,20181012,071957,67,4.444444444444445,243,2,30.08,610
KILCHICA60,2018-10-12 02:24:59,20181012,072459,67,4.444444444444445,242,3,30.085,610
KILCHICA60,2018-10-12 02:29:59,20181012,072959,68,4.444444444444445,242,2,30.085,610
KILCHICA60,2018-10-12 02:34:55,20181012,073455,68,4.444444444444445,231,2,30.08,610
KILCHICA60,2018-10-12 02:39:55,20181012,073955,68,4.444444444444445,228,2,30.08,610
KILCHICA60,2018-10-12 02:44:57,20181012,074457,68,4.444444444444445,226,3,30.08,610
KILCHICA60,2018-10-12 02:49:53,20181012,074953,68,3.888888888888889,211,1,30.08,610
KILCHICA60,2018-10-12 02:54:59,20181012,075459,67,3.888888888888889,198,2,30.08,610
KILCHICA60,2018-10-12 02:59:55,20181012,075955,67,3.888888888888889,199,1,30.08,610
KILCHICA60,2018-10-12 03:04:55,20181012,080455,68,3.888888888888889,200,2,30.08,610
KILCHICA60,2018-10-12 03:09:59,20181012,080959,68,3.888888888888889,205,2,30.08,610
KILCHICA60,2018-10-12 03:14:58,20181012,081458,68,3.888888888888889,206,2,30.08,610
KILCHICA60,2018-10-12 03:19:57,20181012,081957,68,3.888888888888889,207,2,30.08,610
KILCHICA60,2018-10-12 03:24:57,20181012,082457,68,3.888888888888889,208,1,30.08,610
KILCHICA60,2018-10-12 03:29:59,20181012,082959,69,3.888888888888889,209,2,30.08,610
KILCHICA60,2018-10-12 03:34:59,20181012,083459,69,3.888888888888889,209,1,30.08,610
KILCHICA60,2018-10-12 03:39:57,20181012,083957,70,3.888888888888889,209,2,30.08,610
KILCHICA60,2018-10-12 03:44:55,20181012,084455,70,3.888888888888889,209,2,30.075,610
KILCHICA60,2018-10-12 03:49:57,20181012,084957,70,3.888888888888889,209,2,30.08,610
KILCHICA60,2018-10-12 03:54:57,20181012,085457,70,3.888888888888889,210,1,30.075,610
KILCHICA60,2018-10-12 03:59:53,20181012,085953,71,3.888888888888889,210,1,30.075,610
KILCHICA60,2018-10-12 04:04:59,20181012,090459,71,3.3333333333333335,210,1,30.075,610
KILCHICA60,2018-10-12 04:09:57,20181012,090957,71,3.3333333333333335,210,2,30.07,610
KILCHICA60,2018-10-12 04:14:57,20181012,091457,71,3.3333333333333335,222,2,30.07,610
KILCHICA60,2018-10-12 04:19:55,20181012,091955,71,3.3333333333333335,247,3,30.07,610
KILCHICA60,2018-10-12 04:24:59,20181012,092459,71,3.3333333333333335,259,4,30.07,610
KILCHICA60,2018-10-12 04:29:57,20181012,092957,70,3.3333333333333335,249,2,30.07,610
KILCHICA60,2018-10-12 04:34:55,20181012,093455,69,3.3333333333333335,246,3,30.07,610
